structure_number,county,county_fips,owner_code,owner,facility_carried,feature_intersected,location,route_prefix,route_number,functional_class,lat,lon,coord_note,year_built,year_reconstructed,age_yrs,material,structure_type_code,service_under,over_water,n_main_spans,structure_len_m,deck_width_m,adt,adt_year,deck_cond,superstructure_cond,substructure_cond,culvert_cond,channel_cond,waterway_adequacy,scour_critical,condition,lowest_rating,fhwa_condition,condition_color,work_proposed_code,work_proposed,replacement_proposed,year_of_improvement,improvement_cost_k,inspection_date,nbi_year,parse_notes
000000000000520,Cross,037,1,State Highway Agency,Us-64/Sec15/L10.79,Gregory Ditch,3.15 Mi W Of Jct Sh 1 No,2,,06,35.252061,-90.850036,,1963,,61,Concrete,01,Waterway,1,3,22.9,9.6,3900,2018,7,7,7,,5,9,5,Good,7,Good,#2e7d32,,,0,,,1223,2024,
000000000000521,Cross,037,1,State Highway Agency,Us-64/Sec15/L11.30,Caney Creek,2.65 Mi W Of Jct Sh 1 No,2,,06,35.252572,-90.841042,,1963,,61,Concrete,01,Waterway,1,3,27.4,10.2,3900,2018,6,6,6,,6,8,7,Fair,6,Fair,#f9a825,,,0,,,1223,2024,
000000000000534,Faulkner,045,1,State Highway Agency,SH 25,Creek,0.26 MI W OF JCT US 65,3,,06,35.226189,-92.391678,,1928,1986,96,Concrete,01,Waterway,1,2,18.9,10.0,6000,2018,7,7,7,,7,8,8,Good,7,Good,#2e7d32,,,0,,,822,2024,
000000000000454,Hot Spring,059,1,State Highway Agency,US  67 Log 17.25,CHATMAN CREEK,SO City Limits OF MALVERN,2,,17,34.353328,-92.819572,,1928,1957,96,Concrete,04,Waterway,1,3,28.4,9.6,4925,2018,6,6,6,,6,8,5,Fair,6,Fair,#f9a825,31,Replacement because of substandard load capacity or structural condition,1,,359,522,2024,
000000000000455,Hot Spring,059,1,State Highway Agency,US  67 Log 15.40,Black Branch,2.65 MI SO OF JCT SH 9,2,,17,34.332897,-92.834153,,1928,1956,96,Concrete,04,Waterway,1,3,28.5,9.7,3570,2018,6,6,5,,6,8,5,Fair,5,Fair,#f9a825,,,0,,,722,2024,
000000000000456,Hot Spring,059,1,State Highway Agency,US  67 -7 Log 9.45,TEN MILE CREEK,2.49 MI NE JCT SH 51,2,,07,34.260583,-92.885719,,1928,1957,96,Concrete,04,Waterway,1,2,18.9,9.7,2800,2018,6,6,6,,6,6,8,Fair,6,Fair,#f9a825,,,0,,,722,2024,
000000000000658,Hot Spring,059,1,State Highway Agency,US 67-7 Log 3.93,DELISLE CREEK,1.53 MI NE OF FRIENDSHIP,2,,07,34.236447,-92.971139,,1929,1956,95,Concrete,11,Waterway,1,1,59.1,9.7,2700,2018,5,5,5,,7,8,8,Fair,5,Fair,#f9a825,35,Widening with deck rehabilitation,0,,306,623,2024,
000000000000659,Hot Spring,059,1,State Highway Agency,US 67-7 Log 5.53,OUACHITA RELIEF,5.58 MI NE OF CLARK CO LI,2,,07,34.234842,-92.943681,,1929,1959,95,Concrete,04,Waterway,1,3,32.3,9.6,2700,2018,5,5,5,,7,8,5,Fair,5,Fair,#f9a825,,,0,,,522,2024,
000000000000660,Hot Spring,059,1,State Highway Agency,US 67 Log 5.33,OUACHITA RELIEF,5.3 MI NE CLARK CO LN,2,,07,34.235500,-92.947089,,1929,1957,95,Concrete,04,Waterway,1,14,149.7,9.6,2700,2018,5,5,5,,7,8,5,Fair,5,Fair,#f9a825,35,Widening with deck rehabilitation,0,,699,522,2024,
000000000000663,Hot Spring,059,1,State Highway Agency,US  67 log 4.60,OUACHITA RIVER,4.64 MI NE OF CLARK CO LI,2,,07,34.237931,-92.959556,,1929,1957,95,Concrete,11,Waterway,1,3,358.7,9.6,2700,2018,5,5,5,,7,8,5,Fair,5,Fair,#f9a825,,,0,,,522,2024,
